,movie_id,country_id,last_update
0,1,117,20210925
1,2,124,20210924
2,3,38,20210924
3,3,37,20210924
4,3,16,20210924
5,3,116,20210924
6,3,32,20210924
7,3,117,20210924
8,4,117,20210924
9,5,26,20210923
10,5,37,20210923
11,6,124,20210922
12,7,124,20210922
13,8,124,20210922
14,9,124,20210921
15,10,124,20210921
16,11,44,20210921
17,12,124,20210921
18,13,117,20210920
19,14,117,20210919
20,15,117,20210919
21,15,44,20210919
22,15,34,20210919
23,16,124,20210917
24,17,124,20210917
25,18,124,20210917
26,19,117,20210916
27,19,19,20210916
28,19,22,20210916
29,20,117,20210916
30,21,117,20210916
31,22,117,20210916
32,23,117,20210916
33,24,124,20210916
34,25,117,20210916
35,25,99,20210916
36,25,52,20210916
37,26,117,20210916
38,27,52,20210915
39,28,52,20210915
40,29,52,20210915
41,30,52,20210915
42,31,52,20210915
43,32,52,20210915
44,33,52,20210915
45,34,52,20210915
46,35,52,20210915
47,36,52,20210915
48,37,52,20210915
49,38,52,20210915
50,39,124,20210915
51,40,124,20210915
52,41,124,20210914
53,42,78,20210914
54,43,124,20210914
55,44,124,20210911
56,45,124,20210911
57,46,124,20210911
58,47,124,20210910
59,48,117,20210910
60,49,78,20210910
61,50,124,20210910
62,51,124,20210909
63,52,117,20210909
64,52,102,20210909
65,53,34,20210909
66,54,124,20210908
67,55,117,20210908
68,55,116,20210908
69,56,117,20210907
70,57,117,20210907
71,58,124,20210906
72,59,44,20210905
73,60,117,20210904
74,61,124,20210903
75,62,124,20210902
76,63,44,20210902
77,64,7,20210902
78,64,34,20210902
79,64,116,20210902
80,65,44,20210902
81,66,117,20210902
82,66,116,20210902
83,67,44,20210902
84,68,124,20210902
85,69,34,20210902
86,69,7,20210902
87,69,117,20210902
88,69,116,20210902
89,70,44,20210902
90,71,19,20210901
91,71,117,20210901
92,72,124,20210901
93,73,117,20210901
94,73,37,20210901
95,74,124,20210901
96,75,117,20210901
97,76,117,20210901
98,76,99,20210901
99,77,117,20210901
100,77,67,20210901
101,78,50,20210901
102,78,34,20210901
103,78,117,20210901
104,78,52,20210901
105,79,50,20210901
106,79,116,20210901
107,79,89,20210901
108,79,117,20210901
109,80,7,20210901
110,80,117,20210901
111,81,117,20210901
112,82,117,20210901
113,83,120,20210901
114,83,5,20210901
115,84,117,20210901
116,84,116,20210901
117,84,19,20210901
118,85,117,20210901
119,85,37,20210901
120,86,117,20210901
121,87,117,20210901
122,88,117,20210901
123,89,117,20210901
124,90,117,20210901
125,91,117,20210901
126,92,22,20210901
127,92,41,20210901
128,93,117,20210901
129,94,117,20210901
130,94,116,20210901
131,95,117,20210901
132,96,19,20210901
133,97,117,20210901
134,98,41,20210901
135,99,117,20210901
136,100,41,20210901
137,100,117,20210901
138,100,22,20210901
139,101,117,20210901
140,102,117,20210901
141,103,50,20210901
142,103,117,20210901
143,104,19,20210901
144,104,117,20210901
145,105,117,20210901
146,106,117,20210901
147,107,117,20210901
148,108,117,20210901
149,109,117,20210901
150,109,37,20210901
151,110,117,20210901
152,111,117,20210901
153,112,117,20210901
154,113,117,20210901
155,114,116,20210901
156,114,117,20210901
157,115,117,20210901
158,116,117,20210901
159,117,124,20210901
160,118,117,20210901
161,119,117,20210831
162,120,124,20210831
163,121,34,20210828
164,122,44,20210828
165,123,116,20210828
166,123,117,20210828
167,123,19,20210828
168,124,44,20210827
